,Hindi,Kannada,devanagari_kannada
0,"मन की बात,  अप्रैल 2020","ಮನ್ ಕಿ ಬಾತ್, ಏಪ್ರಿಲ್ 2020","मन् कि बात्, एप्रिल् 2020"
1,"मेरे प्यारे देशवासियो, नमस्कार |","ನನ್ನ ಪ್ರಿಯ ದೇಶವಾಸಿಗಳೇ, ನಮಸ್ಕಾರ.","नन्न प्रिय देशवासिगळे, नमस्कार."
2,आप सब lockdown में इस ‘मन की बात’ को सुन रहे हैं |,ನೀವೆಲ್ಲ ಲಾಕ್ ಡೌನ್ ನಲ್ಲಿ ಈ ಮನದ ಮಾತುಗಳನ್ನು ಕೇಳುತ್ತಿದ್ದೀರಿ.,नीवॆल्ल लाक् डौन् नल्लि ई मनद मातुगळन्नु केळुत्तिद्दीरि.
3,"इस ‘मन की बात’ के लिये आने वाले सुझाव, phone call की संख्या, सामान्य रूप से कई गुणा ज्यादा है |",ಈ ಮನದ ಮಾತಿಗೆ ಬರುವ ಸಲಹೆಗಳು ಮತ್ತು ದೂರವಾಣಿ ಕರೆಗಳು ಸಾಮಾನ್ಯಕ್ಕಿಂತ ಬಹಳ ಹೆಚ್ಚಿಗೆ ಬಂದಿವೆ.,ई मनद मातिगॆ बरुव सलहॆगळु मत्तु दूरवाणि करॆगळु सामान्यक्किंत बहळ हॆच्चिगॆ बंदिवॆ.
4,"कई सारे विषयों को अपने अन्दर समेट, आपकी यह मन की बातें, मेरे तक, पहुँची हैं |",ನಿಮ್ಮಲ್ಲೇ ಹುದುಗಿಸಿಕೊಂಡ ಬಹಳಷ್ಟು ವಿಷಯಗಳು ಮನದ ಮಾತಿನ ಮೂಲಕ ನನ್ನವರೆಗೂ ಬಂದು ತಲುಪಿವೆ.,निम्मल्ले हुदुगिसिकॊंड बहळष्टु विषयगळु मनद मातिन मूलक नन्नवरॆगू बंदु तलुपिवॆ.
5,"मैंने कोशिश की है, कि, इनको ज्यादा-से-ज्यादा पढ़ पाऊँ, सुन पाऊँ |",ಇವುಗಳಲ್ಲಿ ಬಹಳಷ್ಟನ್ನು ಓದುವ ಮತ್ತು ಕೇಳುವ ಪ್ರಯತ್ನವನ್ನು ನಾನು ಮಾಡಿದ್ದೇನೆ.,इवुगळल्लि बहळष्टन्नु ओदुव मत्तु केळुव प्रयत्नवन्नु नानु माडिद्देनॆ.
6,"आपकी बातों से कई ऐसे पहलू जानने को मिले हैं, जिनपर, इस आपा-धापी में ध्यान ही नहीं जाता है |","ನಿಮ್ಮ ಮಾತಿನಿಂದ ಇಂಥ ಅದೆಷ್ಟೋ ಆಯಾಮಗಳನ್ನು ತಿಳಿದುಕೊಳ್ಳುವ ಅವಕಾಶ ದೊರೆತಿದೆ.
ಇಂಥವುಗಳತ್ತ ಈ ಆತುರದ ಸಮಯದಲ್ಲಿ ನಾವು ಗಮನಹರಿಸುವುದಿಲ್ಲ.","निम्म मातिनिंद इंथ अदॆष्टो आयामगळन्नु तिळिदुकॊळ्ळुव अवकाश दॊरॆतिदॆ.
इंथवुगळत्त ई आतुरद समयदल्लि नावु गमनहरिसुवुदिल्ल."
7,"मेरा मन करता है, कि युद्ध के बीच हो रही इस ‘मन की बात’ में, उन्हीं कुछ पहलुओं को, आप सभी देशवासियों के साथ बाटूँ |",ಸಮರದ ನಡುವೆ ಬಂದಿರುವ ಈ ಮನದ ಮಾತಿನಲ್ಲಿ ಆ ಕೆಲವು ಕ್ಷಣಗಳನ್ನು ಎಲ್ಲರೊಂದಿಗೆ ಹಂಚಿಕೊಳ್ಳಬೇಕೆಂದು ನಾನು ಬಯಸುತ್ತೇನೆ.,समरद नडुवॆ बंदिरुव ई मनद मातिनल्लि आ कॆलवु क्षणगळन्नु ऎल्लरॊंदिगॆ हंचिकॊळ्ळबेकॆंदु नानु बयसुत्तेनॆ.
8,"साथियो, भारत की CORONA के खिलाफ़ लड़ाई सही मायने में people driven है |",ಸ್ನೇಹಿತರೆ ಭಾರತದ ಕೊರೊನಾ ವಿರುದ್ಧದ ಹೋರಾಟ ನಿಜವಾದ ಅರ್ಥದಲ್ಲಿ ಜನಸಂಘರ್ಷವಾಗಿದೆ.,स्नेहितरॆ भारतद कॊरॊना विरुद्धद होराट निजवाद अर्थदल्लि जनसंघर्षवागिदॆ.
9,"भारत में CORONA के खिलाफ़ लड़ाई जनता लड़ रही है, आप लड़ रहे हैं, जनता के साथ मिलकर शासन, प्रशासन लड़ रहा है |","ಭಾರತದ ಕೊರೊನಾ ವಿರುದ್ಧದ ಹೋರಾಟವನ್ನು ಜನರೇ ಮುಂದುವರಿಸುತ್ತಿದ್ದಾರೆ, ನೀವು ಹೋರಾಡುತ್ತಿದ್ದೀರಿ, ಜನತೆಯೊಂದಿಗೆ ಸೇರಿ ಶಾಸನ ಮತ್ತು ಆಡಳಿತವೂ ಹೋರಾಡುತ್ತಿದೆ.","भारतद कॊरॊना विरुद्धद होराटवन्नु जनरे मुंदुवरिसुत्तिद्दारॆ, नीवु होराडुत्तिद्दीरि, जनतॆयॊंदिगॆ सेरि शासन मत्तु आडळितवू होराडुत्तिदॆ."
