,Hindi,Sanskrit
0,"मन की बात,  अप्रैल 2020","मनोगतम्,  एप्रिल  २०२०"
1,"मेरे प्यारे देशवासियो, नमस्कार |","मम प्रियाः देशवासिनः, नमस्कारः।"
2,आप सब lockdown में इस ‘मन की बात’ को सुन रहे हैं |,भवन्तः सर्वे lockdown इति सञ्चाररोधे ‘मन की बात’-‘मनोगतं’ शृण्वन्ति।
3,"इस ‘मन की बात’ के लिये आने वाले सुझाव, phone call की संख्या, सामान्य रूप से कई गुणा ज्यादा है |","अस्य मनोगतस्य कृते सम्प्राप्यमाणा परामर्श-दूरभाषाकारणानां संख्या, सामान्यतः अनेकधा अधिकास्ति।"
4,"कई सारे विषयों को अपने अन्दर समेट, आपकी यह मन की बातें, मेरे तक, पहुँची हैं |","अनेकान् विषयान् स्वस्मिन् समाकलय्य, भवतामिदं ‘मनोगतम्’, मम पार्श्वे, आगतम्।"
5,"मैंने कोशिश की है, कि, इनको ज्यादा-से-ज्यादा पढ़ पाऊँ, सुन पाऊँ |","मया प्रयतितं, यदहं एतान् विषयान् अधिकाधिकान् पठेयम्, शृणुयाम् च।"
6,"आपकी बातों से कई ऐसे पहलू जानने को मिले हैं, जिनपर, इस आपा-धापी में ध्यान ही नहीं जाता है |","भवतां वृत्तेभ्यः अनेके तादृशाः पक्षाः अवगताः, ये नाम दुष्करेsस्मिन् सङ्घर्षमये काले, सरलतया अवधातुं नैव शक्यन्ते।"
7,"मेरा मन करता है, कि युद्ध के बीच हो रही इस ‘मन की बात’ में, उन्हीं कुछ पहलुओं को, आप सभी देशवासियों के साथ बाटूँ |","नूनं समीहे, यत्  सङ्घर्षमयेsस्मिन् काले, प्रसार्यमाणे ‘मनोगते’, तान् एव काँचन् पक्षान्, भवद्भ्यः देशवासिभ्यः सम्विभाजयेयम्।"
8,"साथियो, भारत की CORONA के खिलाफ़ लड़ाई सही मायने में people driven है |","सखायः, कोरोना-विरोधि भारतीयं युद्धं वस्तुतस्तु people driven- इति जन-सञ्चालितमस्ति।"
9,"भारत में CORONA के खिलाफ़ लड़ाई जनता लड़ रही है, आप लड़ रहे हैं, जनता के साथ मिलकर शासन, प्रशासन लड़ रहा है |","भारते कोरोना-विरोधि युद्धं जनाः सञ्चालयन्ति, भवन्तः प्रवर्तयन्ति, जनैः सम्भूय शासनम्, प्रशासनञ्च सञ्चालयतः।"
