,Kannada,Sanskrit,devanagari_kannada
0,"ಮನ್ ಕಿ ಬಾತ್, ಏಪ್ರಿಲ್ 2020","मनोगतम्,  एप्रिल  २०२०","मन् कि बात्, एप्रिल् 2020"
1,"ನನ್ನ ಪ್ರಿಯ ದೇಶವಾಸಿಗಳೇ, ನಮಸ್ಕಾರ.","मम प्रियाः देशवासिनः, नमस्कारः।","नन्न प्रिय देशवासिगळे, नमस्कार."
2,ನೀವೆಲ್ಲ ಲಾಕ್ ಡೌನ್ ನಲ್ಲಿ ಈ ಮನದ ಮಾತುಗಳನ್ನು ಕೇಳುತ್ತಿದ್ದೀರಿ.,भवन्तः सर्वे lockdown इति सञ्चाररोधे ‘मन की बात’-‘मनोगतं’ शृण्वन्ति।,नीवॆल्ल लाक् डौन् नल्लि ई मनद मातुगळन्नु केळुत्तिद्दीरि.
3,ಈ ಮನದ ಮಾತಿಗೆ ಬರುವ ಸಲಹೆಗಳು ಮತ್ತು ದೂರವಾಣಿ ಕರೆಗಳು ಸಾಮಾನ್ಯಕ್ಕಿಂತ ಬಹಳ ಹೆಚ್ಚಿಗೆ ಬಂದಿವೆ.,"अस्य मनोगतस्य कृते सम्प्राप्यमाणा परामर्श-दूरभाषाकारणानां संख्या, सामान्यतः अनेकधा अधिकास्ति।",ई मनद मातिगॆ बरुव सलहॆगळु मत्तु दूरवाणि करॆगळु सामान्यक्किंत बहळ हॆच्चिगॆ बंदिवॆ.
4,ನಿಮ್ಮಲ್ಲೇ ಹುದುಗಿಸಿಕೊಂಡ ಬಹಳಷ್ಟು ವಿಷಯಗಳು ಮನದ ಮಾತಿನ ಮೂಲಕ ನನ್ನವರೆಗೂ ಬಂದು ತಲುಪಿವೆ.,"अनेकान् विषयान् स्वस्मिन् समाकलय्य, भवतामिदं ‘मनोगतम्’, मम पार्श्वे, आगतम्।",निम्मल्ले हुदुगिसिकॊंड बहळष्टु विषयगळु मनद मातिन मूलक नन्नवरॆगू बंदु तलुपिवॆ.
5,ಇವುಗಳಲ್ಲಿ ಬಹಳಷ್ಟನ್ನು ಓದುವ ಮತ್ತು ಕೇಳುವ ಪ್ರಯತ್ನವನ್ನು ನಾನು ಮಾಡಿದ್ದೇನೆ.,"मया प्रयतितं, यदहं एतान् विषयान् अधिकाधिकान् पठेयम्, शृणुयाम् च।",इवुगळल्लि बहळष्टन्नु ओदुव मत्तु केळुव प्रयत्नवन्नु नानु माडिद्देनॆ.
6,"ನಿಮ್ಮ ಮಾತಿನಿಂದ ಇಂಥ ಅದೆಷ್ಟೋ ಆಯಾಮಗಳನ್ನು ತಿಳಿದುಕೊಳ್ಳುವ ಅವಕಾಶ ದೊರೆತಿದೆ.
ಇಂಥವುಗಳತ್ತ ಈ ಆತುರದ ಸಮಯದಲ್ಲಿ ನಾವು ಗಮನಹರಿಸುವುದಿಲ್ಲ.","भवतां वृत्तेभ्यः अनेके तादृशाः पक्षाः अवगताः, ये नाम दुष्करेsस्मिन् सङ्घर्षमये काले, सरलतया अवधातुं नैव शक्यन्ते।","निम्म मातिनिंद इंथ अदॆष्टो आयामगळन्नु तिळिदुकॊळ्ळुव अवकाश दॊरॆतिदॆ.
इंथवुगळत्त ई आतुरद समयदल्लि नावु गमनहरिसुवुदिल्ल."
7,ಸಮರದ ನಡುವೆ ಬಂದಿರುವ ಈ ಮನದ ಮಾತಿನಲ್ಲಿ ಆ ಕೆಲವು ಕ್ಷಣಗಳನ್ನು ಎಲ್ಲರೊಂದಿಗೆ ಹಂಚಿಕೊಳ್ಳಬೇಕೆಂದು ನಾನು ಬಯಸುತ್ತೇನೆ.,"नूनं समीहे, यत्  सङ्घर्षमयेsस्मिन् काले, प्रसार्यमाणे ‘मनोगते’, तान् एव काँचन् पक्षान्, भवद्भ्यः देशवासिभ्यः सम्विभाजयेयम्।",समरद नडुवॆ बंदिरुव ई मनद मातिनल्लि आ कॆलवु क्षणगळन्नु ऎल्लरॊंदिगॆ हंचिकॊळ्ळबेकॆंदु नानु बयसुत्तेनॆ.
8,ಸ್ನೇಹಿತರೆ ಭಾರತದ ಕೊರೊನಾ ವಿರುದ್ಧದ ಹೋರಾಟ ನಿಜವಾದ ಅರ್ಥದಲ್ಲಿ ಜನಸಂಘರ್ಷವಾಗಿದೆ.,"सखायः, कोरोना-विरोधि भारतीयं युद्धं वस्तुतस्तु people driven- इति जन-सञ्चालितमस्ति।",स्नेहितरॆ भारतद कॊरॊना विरुद्धद होराट निजवाद अर्थदल्लि जनसंघर्षवागिदॆ.
9,"ಭಾರತದ ಕೊರೊನಾ ವಿರುದ್ಧದ ಹೋರಾಟವನ್ನು ಜನರೇ ಮುಂದುವರಿಸುತ್ತಿದ್ದಾರೆ, ನೀವು ಹೋರಾಡುತ್ತಿದ್ದೀರಿ, ಜನತೆಯೊಂದಿಗೆ ಸೇರಿ ಶಾಸನ ಮತ್ತು ಆಡಳಿತವೂ ಹೋರಾಡುತ್ತಿದೆ.","भारते कोरोना-विरोधि युद्धं जनाः सञ्चालयन्ति, भवन्तः प्रवर्तयन्ति, जनैः सम्भूय शासनम्, प्रशासनञ्च सञ्चालयतः।","भारतद कॊरॊना विरुद्धद होराटवन्नु जनरे मुंदुवरिसुत्तिद्दारॆ, नीवु होराडुत्तिद्दीरि, जनतॆयॊंदिगॆ सेरि शासन मत्तु आडळितवू होराडुत्तिदॆ."
